timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1737042683245,44843,Search Devices for List For Map,200,,Http URL/API Test 1-26,text,true,,5376,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=16&pageNumber=4&sortKey=status&sortDirection=DESC,44843,0,171
1737042727626,921,Get List of Zones,200,,Http URL/API Test 1-2,text,true,,11537,1154,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones?sortKey=status&sortDirection=ASC,920,0,170
1737042728089,533,Get List of Zones,200,,Http URL/API Test 1-26,text,true,,398,1154,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones?sortKey=status&sortDirection=ASC,533,0,0
1737042728548,427,Get the List of Default config for the Departments,200,,Http URL/API Test 1-2,text,true,,988,1106,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/department/config/list?sortKey=enName,427,0,0
1737042685935,43237,Search Zones for List For Map,200,,Http URL/API Test 1-5,text,true,,2866,1099,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=8&pageNumber=1&&sortKey=occupied&sortDirection=DESC,43237,0,0
1737042724134,5155,Get List of Department,200,,Http URL/API Test 1-35,text,true,,19850,1109,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/department?lang=en&pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,5154,0,0
1737042728975,468,Get List of Regions,200,,Http URL/API Test 1-2,text,true,,458,1105,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/region?lang=en&pageNumber=5&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,468,0,0
1737042686665,43818,Search Zones for List For Map,200,,Http URL/API Test 1-24,text,true,,5381,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/zones/map/list?pageSize=16&pageNumber=4&&sortKey=occupied&sortDirection=DESC,43818,0,0
1737042684013,46470,Search Devices for List For Map,200,,Http URL/API Test 1-16,text,true,,5385,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=16&pageNumber=5&sortKey=status&sortDirection=DESC,46470,0,0
1737042683226,47531,Search Devices for List For Map,200,,Http URL/API Test 1-49,text,true,,5372,1100,31,31,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=16&pageNumber=1&sortKey=status&sortDirection=DESC,47531,0,193
1737042728650,2253,Get List of Cities,200,,Http URL/API Test 1-26,text,true,,13905,1103,30,30,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,2145,0,0
1737042730484,628,Get List of Containers,200,,Http URL/API Test 1-24,text,true,,457,1335,30,30,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers?pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC,628,0,198
1737042729177,2014,Get List of Cities,200,,Http URL/API Test 1-5,text,true,,7090,1102,30,30,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/level/city?lang=en&pageNumber=1&pageSize=8&sortKey=createdTime&sortDirection=DESC&keyType=SERVER_ATTRIBUTE,2013,0,0
1737042729444,2926,Get List of Alert Profiles,200,,Http URL/API Test 1-2,text,true,,458,1193,30,30,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=ASC,2926,0,0
1737042731113,1841,Get the List of Alerts,200,,Http URL/API Test 1-24,text,true,,457,1333,30,30,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=4&pageSize=16&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,1841,0,0
1737042730903,2282,Get List of Alert Profiles,200,,Http URL/API Test 1-26,text,true,,457,1193,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alertprofiles?pageNumber=2&pageSize=16&sortKey=createdTime&sortDirection=ASC,2282,0,0
1737042687522,46541,Get the List of Alerts,200,,Http URL/API Test 1-23,text,true,,6622,1332,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=5&pageSize=8&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,46541,0,0
1737042687924,46139,Search Devices for List For Map,200,,Http URL/API Test 1-44,text,true,,2915,1099,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/devices/map/list?pageSize=8&pageNumber=2&sortKey=status&sortDirection=DESC,46139,0,0
1737042732371,1887,Get the List of Alerts,200,,Http URL/API Test 1-2,text,true,,13467,1333,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=1&pageSize=16&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,1886,0,0
1737042683245,51445,Search Containers for List For Map,200,,Http URL/API Test 1-1,text,true,,509,1101,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/containers/map/list?pageSize=8&pageNumber=3&sortKey=messageTime&sortDirection=DESC,51445,0,198
1737042734064,1038,Get the List of Alerts For Map,200,,Http URL/API Test 1-44,text,true,,457,1363,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=4&pageSize=8&sortKey=createdTime&sortDirection=DESC,1038,0,170
1737042686760,48343,Get the List of Alerts,200,,Http URL/API Test 1-33,text,true,,12821,1333,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=2&pageSize=16&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,48343,0,0
1737042734063,1651,Get list of Tasks,200,,Http URL/API Test 1-23,text,true,,3010,1147,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/tasks?pageNumber=2&pageSize=8,1651,0,185
1737042730484,5230,Get the List of Alerts,200,,Http URL/API Test 1-16,text,true,,457,1333,29,29,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/ct/alerts?lang=en&pageNumber=3&pageSize=16&sortKey=createdTime&sortDirection=DESC&timeZone=Asia%2FRiyadh,5230,0,0
1737042735103,1087,Search Users,200,,Http URL/API Test 1-44,text,true,,12561,1089,28,28,http://k8s-default-awsingre-a7e4fb380f-62692094.us-east-1.elb.amazonaws.com/api/iot2/users?pageNumber=1&pageSize=8&sortKey=createdTime&keyType=SERVER_ATTRIBUTE&sortDirection=DESC,1086,0,0
